Depth(X),Depth(Y),Depth_dt(X),Depth_dt(Y),Tension(X),Tension(Y)
42891.4939,3.967676086,42891.49391,0,42891.4939,359.0535373
42891.49391,3.967676086,42891.49392,0,42891.49391,347.8011472
42891.49392,3.967676086,42891.49394,0,42891.49392,367.2370937
42891.49394,3.967676086,42891.49395,0,42891.49394,392.8107075
42891.49395,3.967676086,42891.49396,0,42891.49395,405.0860421
42891.49396,3.967676086,42891.49397,0,42891.49396,394.8565966
42891.49397,3.967676086,42891.49398,0,42891.49397,358.0305927
42891.49398,3.967676086,42891.49399,0,42891.49398,349.8470363
42891.49399,3.967676086,42891.494,0,42891.49399,358.0305927
42891.494,3.967676086,42891.49402,0,42891.494,374.3977055
42891.49402,3.967676086,42891.49403,0,42891.49402,396.9024857
42891.49403,3.967676086,42891.49404,0,42891.49403,398.9483748
42891.49404,3.967676086,42891.49405,0,42891.49404,370.3059273
42891.49405,3.967676086,42891.49406,0,42891.49405,345.7552581
42891.49406,3.967676086,42891.49407,0,42891.49406,341.6634799
42891.49407,3.967676086,42891.49409,0,42891.49407,371.3288719
42891.49409,3.967676086,42891.4941,0,42891.49409,375.4206501
42891.4941,3.967676086,42891.49411,0,42891.4941,409.1778203
42891.49411,3.967676086,42891.49412,0,42891.49411,376.4435946
42891.49412,3.967676086,42891.49413,0,42891.49412,367.2370937
42891.49413,3.967676086,42891.49414,0,42891.49413,355.9847036
42891.49414,3.967676086,42891.49416,0,42891.49414,376.4435946
42891.49416,3.967676086,42891.49417,0,42891.49416,398.9483748
42891.49417,3.967676086,42891.49418,0,42891.49417,394.8565966
42891.49418,3.967676086,42891.49419,0,42891.49418,359.0535373
42891.49419,3.967676086,42891.4942,0,42891.49419,339.6175908
42891.4942,3.967676086,42891.49421,0,42891.4942,335.5258126
42891.49421,3.967676086,42891.49422,0,42891.49421,359.0535373
42891.49422,3.967676086,42891.49424,0,42891.49422,383.6042065
42891.49424,3.967676086,42891.49425,0,42891.49424,396.9024857
42891.49425,3.967676086,42891.49426,0,42891.49425,383.6042065
42891.49426,3.967676086,42891.49427,0,42891.49426,346.7782027
42891.49427,3.967676086,42891.49428,0,42891.49427,329.3881453
42891.49428,3.967676086,42891.49429,0,42891.49428,339.6175908
42891.49429,3.967676086,42891.49431,0,42891.49429,368.2600382
42891.49431,3.967676086,42891.49432,0,42891.49431,405.0860421
42891.49432,3.967676086,42891.49433,-0.019536759,42891.49432,391.7877629
42891.49433,3.948139323,42891.49434,-0.084659329,42891.49433,536.0229446
42891.49434,3.863480013,42891.49435,-0.078147036,42891.49434,547.2753346
42891.49435,3.785332959,42891.49436,-0.078147036,42891.49435,532.9541109
42891.49436,3.707185904,42891.49438,-0.149781926,42891.49436,553.4130019
42891.49438,3.557404049,42891.49439,-0.143269566,42891.49438,547.2753346
42891.49439,3.414134449,42891.4944,-0.136757313,42891.49439,544.206501
42891.4944,3.277377103,42891.49441,-0.136757411,42891.4944,549.3212237
42891.49441,3.140619757,42891.49442,-0.143269566,42891.49441,549.3212237
42891.49442,2.997350157,42891.49443,-0.146525762,42891.49442,552.3900574
42891.49443,2.85082443,42891.49444,-0.123732807,42891.49443,532.9541109
42891.49444,2.727091593,42891.49446,0,42891.49444,522.7246654
42891.49446,2.727091593,42891.49447,-0.016280644,42891.49446,516.5869981
42891.49447,2.710810957,42891.49448,-0.029305139,42891.49447,627.0650096
42891.49448,2.681505811,42891.49449,0,42891.49448,499.1969407
42891.49449,2.681505811,42891.4945,0,42891.49449,475.6692161
42891.4945,2.681505811,42891.49451,0,42891.4945,439.8661568
42891.49451,2.681505811,42891.49453,-0.045585793,42891.49451,485.8986616
42891.49453,2.635920029,42891.49454,0,42891.49453,469.5315488
42891.49454,2.635920029,42891.49455,0,42891.49454,498.1739962
42891.49455,2.635920029,42891.49456,-0.003256129,42891.49455,448.0497132
42891.49456,2.632663902,42891.49457,0,42891.49456,454.1873805
42891.49457,2.632663902,42891.49458,0,42891.49457,431.6826004
42891.49458,2.632663902,42891.49459,0,42891.49458,436.7973231
42891.49459,2.632663902,42891.49461,0,42891.49459,452.1414914
42891.49461,2.632663902,42891.49462,0,42891.49461,470.5544933
42891.49462,2.632663902,42891.49463,0,42891.49462,470.5544933
42891.49463,2.632663902,42891.49464,0,42891.49463,441.9120459
42891.49464,2.632663902,42891.49465,0,42891.49464,446.0038241
42891.49465,2.632663902,42891.49466,0,42891.49465,443.957935
42891.49466,2.632663902,42891.49468,0,42891.49466,456.2332696
42891.49468,2.632663902,42891.49469,0,42891.49468,456.2332696
42891.49469,2.632663902,42891.4947,0,42891.49469,443.957935
42891.4947,2.632663902,42891.49471,0,42891.4947,446.0038241
42891.49471,2.632663902,42891.49472,0,42891.49471,449.0726577
42891.49472,2.632663902,42891.49473,0,42891.49472,467.4856597
42891.49473,2.632663902,42891.49475,0,42891.49473,483.8527725
42891.49475,2.632663902,42891.49476,0,42891.49475,465.4397706
42891.49476,2.632663902,42891.49477,0,42891.49476,450.0956023
42891.49477,2.632663902,42891.49478,0,42891.49477,432.7055449
42891.49478,2.632663902,42891.49479,0,42891.49478,444.9808795
42891.49479,2.632663902,42891.4948,0,42891.49479,448.0497132
42891.4948,2.632663902,42891.49481,0,42891.4948,481.8068834
42891.49481,2.632663902,42891.49483,0,42891.49481,462.3709369
42891.49483,2.632663902,42891.49484,0,42891.49483,458.2791587
42891.49484,2.632663902,42891.49485,0,42891.49484,440.8891013
42891.49485,2.632663902,42891.49486,0,42891.49485,453.1644359
42891.49486,2.632663902,42891.49487,0,42891.49486,437.8202677
42891.49487,2.632663902,42891.49488,0,42891.49487,473.623327
42891.49488,2.632663902,42891.4949,0.003256127,42891.49488,481.8068834
42891.4949,2.635920029,42891.49491,0,42891.4949,514.541109
42891.49491,2.635920029,42891.49492,-0.032561265,42891.49491,473.623327
42891.49492,2.603358756,42891.49493,-0.13350125,42891.49492,779.4837476
42891.49493,2.469857538,42891.49494,-0.126988934,42891.49493,758.001912
42891.49494,2.342868574,42891.49495,-0.123732807,42891.49494,770.2772467
42891.49495,2.219135737,42891.49497,-0.113964509,42891.49495,734.4741874
42891.49497,2.105171283,42891.49498,-0.100939922,42891.49497,724.2447419
42891.49498,2.004231337,42891.49499,-0.097683795,42891.49498,745.7265774
42891.49499,1.906547519,42891.495,-0.104196123,42891.49499,729.3594646
42891.495,1.802351446,42891.49501,-0.068378657,42891.495,732.4282983
42891.49501,1.733972773,42891.49502,0.003256128,42891.49501,687.418738
42891.49502,1.7372289,42891.49503,-0.019536759,42891.49502,654.6845124
42891.49503,1.717692137,42891.49505,-0.003256127,42891.49503,759.0248566
42891.49505,1.714436009,42891.49506,-0.052098061,42891.49505,745.7265774
42891.49506,1.662337973,42891.49507,-0.06512253,42891.49506,749.8183556
42891.49507,1.597215427,42891.49508,-0.048841898,42891.49507,726.290631
42891.49508,1.548373518,42891.49509,0.022792902,42891.49508,718.1070746
42891.49509,1.571166409,42891.4951,0.045585771,42891.49509,503.2887189
42891.4951,1.616752191,42891.49512,0.035817392,42891.4951,475.6692161
42891.49512,1.652569591,42891.49513,0.006512256,42891.49512,387.6959847
42891.49513,1.659081846,42891.49514,0,42891.49513,350.8699809
42891.49514,1.659081846,42891.49515,-0.068378705,42891.49514,384.6271511
42891.49515,1.590703173,42891.49516,-0.149781819,42891.49515,1099.665392
42891.49516,1.440921318,42891.49517,-0.136757313,42891.49516,1108.871893
42891.49517,1.304163972,42891.49519,-0.136757411,42891.49517,1060.793499
42891.49519,1.167406626,42891.4952,-0.143269566,42891.49519,1066.931166
42891.4952,1.024137026,42891.49521,-0.143269566,42891.4952,1103.75717
42891.49521,0.880867426,42891.49522,-0.136757411,42891.49521,1068.977055
42891.49522,0.74411008,42891.49523,-0.133501187,42891.49522,1058.74761
42891.49523,0.610608862,42891.49524,-0.094427714,42891.49523,1075.114723
42891.49524,0.516181171,42891.49525,0,42891.49524,1030.105163
42891.49525,0.516181171,42891.49527,-0.113964428,42891.49525,954.4072658
42891.49527,0.402216716,42891.49528,-0.113964509,42891.49527,1079.206501
42891.49528,0.288252261,42891.49529,0.00976838,42891.49528,898.1453155
42891.49529,0.298020643,42891.4953,0.013024506,42891.49529,761.0707457
42891.4953,0.311045152,42891.49531,0.009768386,42891.4953,767.208413
42891.49531,0.320813534,42891.49532,0.006512253,42891.49531,759.0248566
42891.49532,0.327325789,42891.49534,0,42891.49532,779.4837476
42891.49534,0.327325789,42891.49535,0,42891.49534,786.6443595
42891.49535,0.327325789,42891.49536,0,42891.49535,786.6443595
42891.49536,0.327325789,42891.49537,0,42891.49536,838.8145315
42891.49537,0.327325789,42891.49538,0,42891.49537,852.1128107
42891.49538,0.327325789,42891.49539,0,42891.49538,857.2275335
42891.49539,0.327325789,42891.49541,0,42891.49539,814.2638623
42891.49541,0.327325789,42891.49542,0,42891.49541,806.0803059
